149.00,66.00,70.00,197.00
149.14,66.16,70.16,196.12
149.87,68.65,69.40,191.56
150.06,68.98,69.60,190.84
151.24,77.66,67.80,185.80
154.17,78.92,67.40,183.20
159.31,75.53,69.96,187.96
162.36,79.82,67.52,180.04
163.25,81.64,66.52,177.04
163.59,82.57,66.60,175.84
170.36,83.02,65.40,170.80
173.86,85.17,64.40,166.68
174.07,82.37,65.24,166.92
176.79,79.75,67.20,171.88
177.81,80.18,66.92,170.72
180.70,77.40,69.80,176.00
191.16,86.58,69.48,173.68
196.61,87.17,68.72,171.72
195.58,84.79,71.16,175.72
197.24,84.88,71.28,174.76
201.43,79.07,72.20,176.20
202.07,70.96,73.36,178.52
201.78,70.35,73.40,177.16
207.71,66.21,72.68,173.68
207.86,66.10,72.84,172.84
208.00,66.00,73.00,172.00
207.81,66.24,72.92,171.56
207.63,66.48,72.84,171.12
213.27,72.49,73.00,171.04
212.96,73.35,73.16,171.20
213.10,78.42,72.40,168.60
212.82,72.64,72.48,168.52
212.19,65.70,73.28,170.60
212.09,64.46,73.00,169.44
205.75,57.99,73.36,170.20
205.80,58.23,72.80,169.40
205.75,56.86,72.44,166.80
205.00,51.96,73.48,169.60
204.99,52.63,73.04,167.96
204.78,58.64,73.00,167.52
198.75,57.14,74.00,170.20
198.79,68.40,73.36,167.96
195.42,72.05,71.64,164.52
194.23,75.06,73.00,166.24
192.28,75.22,73.00,165.92
185.81,69.55,73.80,168.00
184.27,63.50,73.84,167.80
178.74,63.38,73.88,167.60
177.63,62.65,74.00,167.64
177.32,62.82,74.00,167.32
177.00,63.00,74.00,167.00
177.34,68.37,73.64,168.16
172.29,73.93,73.20,169.00
173.33,79.93,71.92,167.36
173.90,84.08,71.56,168.48
168.30,82.32,71.80,171.20
168.67,75.21,71.80,173.60
168.43,67.83,73.04,179.52
168.95,63.21,72.76,180.88
169.79,63.86,71.84,180.32
166.99,64.19,71.00,180.40
171.03,65.81,69.72,177.92
171.86,65.50,69.80,179.28
174.27,68.38,66.72,174.28
175.00,71.68,65.72,173.52
180.28,75.90,64.00,170.00
182.06,79.19,62.76,168.48
183.55,78.66,62.12,168.76
185.39,79.58,60.76,166.16
186.87,78.46,60.12,167.64
189.13,77.80,59.60,168.20
186.64,77.14,59.08,168.76
186.83,74.05,59.80,172.80
193.31,73.70,59.20,173.20
194.14,73.29,58.64,173.72
195.00,73.00,58.00,174.00
200.52,72.91,58.00,173.88
200.88,74.19,57.08,171.00
201.93,76.64,56.12,167.12
206.17,79.40,57.16,171.00
211.48,78.85,57.40,171.80
216.80,77.12,58.48,174.96
217.08,77.96,57.84,172.96
220.74,77.67,57.96,173.24
222.16,74.35,58.72,175.44
222.09,73.88,58.80,175.60
226.91,75.95,58.88,175.76
226.68,81.16,59.40,176.28
227.37,82.79,58.08,172.72
231.53,81.55,58.68,174.92
233.18,83.56,57.40,170.60
234.76,81.70,58.56,174.04
239.07,82.83,57.72,171.48
240.59,77.98,58.16,172.76
240.91,77.67,57.52,170.04
240.88,75.23,57.60,170.20
242.13,75.27,56.84,167.84
246.68,75.21,56.88,167.88
247.92,75.14,56.92,167.92
247.96,75.07,56.96,167.96
248.00,75.00,57.00,168.00
248.14,74.85,56.84,167.92
248.74,76.08,55.76,165.08
249.30,77.62,54.76,161.60
249.40,77.33,54.68,161.80
249.00,70.77,55.60,166.00
249.10,70.69,55.52,166.20
249.20,70.61,55.44,166.40
248.96,69.51,56.04,168.64
249.08,69.49,55.92,168.72
249.20,69.47,55.80,168.80
249.32,69.46,55.68,168.88
248.92,67.62,56.60,172.60
248.84,67.02,56.88,173.84
249.46,68.74,55.76,170.44
249.30,67.88,56.20,172.20
249.42,67.86,56.08,172.28
249.88,68.86,55.28,170.32
249.88,68.35,55.40,171.40
249.66,63.22,55.96,173.48
250.20,68.67,55.00,171.00
251.20,72.64,53.12,164.92
251.46,72.91,52.72,163.96
251.64,77.66,52.48,163.64
251.99,77.83,52.24,163.32
252.00,78.00,52.00,163.00
251.73,77.81,52.32,163.08
251.45,77.61,52.64,163.16
251.12,76.58,53.08,163.60
250.74,76.68,53.60,164.44
249.73,74.45,55.40,168.60
248.07,74.52,55.64,168.16
247.92,75.17,55.24,166.56
247.23,74.10,55.92,168.40
244.43,72.79,56.88,170.72
